"Organização";"Nome";"Descrição";"Tags";"Quantidade Recursos";"Quantidade Reusos";"Quantidade Downloads";"Quantidade Seguidores"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Aquisição, Processamento e Estudo de Dados";"As atividades de aquisição, processamento e estudo de dados não exclusivos (adquiridos por Empresas de Aquisição de Dados - EADs) e de fomento (adquiridos por universidades, instituições de pesquisa ou empresas contratadas pela ANP) somente podem ser realizadas mediante autorização prévia da ANP, conforme a Resolução ANP nº 757/2018. Já o que for relacionado a dados exclusivos (adquiridos pelas concessionárias / operadoras) está dispensado de autorização. Atualmente, as autorizações outorgadas pela ANP têm vigência de cinco anos, não prorrogáveis, contados a partir da data de sua publicação no Diário Oficial da União. Anteriormente à Resolução ANP nº 757/2018 não havia prazo fixo ou restrição a prorrogações. Caso fosse consentida a prorrogação de uma autorização vigente, era publicado no Diário Oficial da União um ato denominado &quot;despacho&quot;, também aplicável em casos específicos como alteração dos limites da área objeto da autorização ou inclusão de novos tipos de tecnologia de aquisição, por exemplo.  O histórico de autorizações e despachos lista cada ato publicado desde 2004. Para as autorizações consta a empresa que recebeu a autorização, o tipo de tecnologia usada e a área alvo da aquisição. No caso dos despachos, consta o objetivo do despacho e a autorização relacionada.  Os dados brutos gerados em decorrência das aquisições, os dados processados e os dados e informações resultantes dos estudos devem ser entregues à ANP. Os dados técnicos recebidos pela Agência são submetidos a avaliação de conformidade segundo os padrões técnicos vigentes. Para cada dado avaliado, é emitido um Laudo de Avaliação dos Dados (LAD), que indica se o dado é conforme (aprovado) ou não conforme (reprovado).  O desempenho mensal das operadoras e EADs no tocante às avaliações de conformidade dos dados tem sido divulgado mensalmente no site da ANP. No momento, essa divulgação está limitada às avaliações de dados sísmicos e dados não sísmicos.";"Aquisição,Autorizações,Dados Estratégicos,Desempenho,Despachos,EADs,Estudo de Dados,Histórico,Mensal,Operadoras,Processamento";"113";"0";"315";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Autorizações de gás natural";"As autorizações para Instalações de Transporte e/ou Movimentação de gás natural na ANP são regidas pelas seguintes regulamentações:  

- Portaria Nº 118 de 11 de julho de 2000 para as atividades de distribuição de gás natural liquefeito (GNL) a granel e de construção, ampliação e operação das centrais de distribuição de GNL;  

- Resolução ANP 41 de 05 de dezembro de 2007 para a atividade de Distribuição de Gás Natural Comprimido (GNC) a Granel, a realização de Projeto para Uso Próprio e de Projeto Estruturante;    

- Resolução ANP 52 de 02 de dezembro de 2015 para a construção, a ampliação e a operação de instalações de movimentação de produtos regulados pela ANP, onde está incluso o gás natural, inclusive liquefeito (GNL). A RANP 52/2015 abrange além de dutos e terminais, os sistemas indispensáveis à sua operação, tais como: estações de bombeamento, tanques de armazenagem, estações de compressão, pontos de entrega ou de recebimento de gás natural, estações de medição para fins operacionais ou de transferência de custódia, dentre outros.  

Veja abaixo a versão mais recente da listagem de Autorizações para Instalações de Transporte e/ou Movimentação de Gás Natural (arquivos em formato .xlsx e .csv).";"GLP,autorizações,construção,gás natural,instalações,operação";"2";"0";"135";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Ações de Fiscalização do Abastecimento";"Compete à Superintendência de Fiscalização do Abastecimento (SFI), com apoio dos Núcleos Regionais de Fiscalização, planejar e executar as ações de fiscalização dos agentes que compõem o abastecimento nacional de combustíveis em todo o território nacional.
Com base nessa competência e com o intuito de dar maior transparência às suas ações, a SFI disponibiliza os resultados das ações de fiscalização do abastecimento. Tais dados serão atualizados mensalmente, com prazo de dois meses entre o mês da fiscalização e o mês da publicação, devido ao atendimento de exigências legais e aspectos operacionais.
Os agentes econômicos autuados possuem direito ao contraditório e à ampla defesa assegurado pela lei. Dessa forma, somente após o julgamento definitivo do processo administrativo sancionador, gerado a partir da ação de fiscalização, será comprovado se o estabelecimento cometeu, ou não, os atos infracionais indicados no arquivo.";"Ação de Fiscalização,Dados Estratégicos,ações,fiscalização";"2";"0";"90";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Blocos com Fase Exploratória Encerrada";"Blocos com fase exploratória encerrada";"Dados Estratégicos,blocos devolvidos,exploração e produção,gás natural,petróleo";"2";"0";"22";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Capacidade de Armazenagem de Terminais";"Os terminais são instalações voltadas à logística de movimentação e armazenamento dos produtos líquidos regulados pela ANP: petróleo, seus derivados e biocombustíveis. Essas instalações compõem a infraestrutura nacional de transporte e transferência desses produtos e são compostas por tanques, bombas, linhas e todos os equipamentos necessários para carga e descarga, visando principalmente a alteração de modo de transporte ou alteração do tamanho do lote de produto. Seu objetivo, na maioria dos casos, é prestar o serviço de movimentação e armazenagem para outras empresas que compõem a indústria do petróleo e dos biocombustíveis.
A operação e a construção de terminais para movimentação de petróleo, seus derivados, gás natural, inclusive liquefeito (GNL), biocombustíveis e demais produtos regulados pela ANP, ocorrem mediante autorização da ANP, conforme a Resolução ANP nº 52, de 2 de dezembro de 2015.
Veja abaixo a relação de terminais de autorizados a operação pela ANP (exceto terminais de GNL), e sua respectiva capacidade de armazenamento. Os dados incluem o número de tanques, o tipo (se fluvial, lacustre, marítimo ou terrestre), a empresa que opera, o estado e o município do terminal, bem como divide a capacidade de armazenamento pelo grupo de produtos (se petróleo, GLP, ou derivados e biocombustíveis) (arquivos em formato .xlsx e .csv).";"Dados Estratégicos,capacidade,combustíveis líquidos,petróleo,terminais";"2";"0";"136";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Comercialização de Gás Natural";"O conjunto dos dados abertos de comercialização de gás natural são constituídos de 2 arquivos:

Vendas às distribuidoras ou consumidores livres: São as vendas de gás natural para as companhias locais de distribuição de gás natural ou consumidores livres que tenham autorização dos estados para comprar diretamente o gás natural dos agentes vendedores. Os dados contém as informações de preços médios ponderados pelos volumes comercializados, bem como os próprios volumes comercializados, e são divulgados mensalmente. Os dados são agregados por regiões brasileiras de acordo com a necessidade de preservação do sigilo comercial dos agentes.

Vendas entre produtores: São as vendas de gás natural entre produtores de gás natural. Os dados contém as informações de preços médios ponderados pelos volumes comercializados, bem como os próprios volumes comercializados, e são divulgados mensalmente. Os dados são agregados por bacias sedimentares brasileiras de acordo com a necessidade de preservação do sigilo comercial dos agentes.";"Comercialização,Comercialização de Gás Natural,Consumidores,Dados Estratégicos,Distribuidoras,Gás Natural,Produtores,Vendas entre produtores,Vendas às distribuidoras ou consumidores livres";"3";"0";"510";"1"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Dados Cadastrais das Revendas de Gás Liquefeito de Petróleo (GLP)";"Considerando que compete à ANP regular as atividades relativas ao abastecimento nacional de combustíveis, definido na Lei nº 9.847/1999, de 26 de outubro de 1999. A SDL (Superintendência de Distribuição e Logística) disponibiliza os metadados referentes aos revendedores de gás liquefeito de petróleo (GLP).";"Dados Estratégicos,GLP,Revendas,dados cadastrais,gás liquefeito de petróleo";"2";"0";"401";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Dados Cadastrais dos Revendedores Varejistas de Combustíveis Automotivos";"Considerando que compete à ANP regular as atividades relativas ao abastecimento nacional de combustíveis, definido na Lei nº 9.847/1999, de 26 de outubro de 1999. A SDL (Superintendência de Distribuição e Logística) disponibiliza os metadados referentes aos revendedores varejistas de combustíveis automotivos que estão em operação.";"Dados Cadastrais,Dados Estratégicos,Postos de Combustíveis,Revenda Varejista,Revendedores";"2";"0";"1017";"3"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Dados Consolidados de Movimentação de Gás Natural em Gasodutos de Transporte";"O conjunto dos dados abertos de
movimentação de gás natural em
gasodutos de transporte enviados pelos
Transportadores, com previsão de
publicação e disseminação na Web
estabelecida no § 2º, Art. 1º, da
Resolução ANP nº 40, de 09/09/2016.";"Dados Estratégicos,Gasodutos,Gás Natural,Movimentação,Transporte";"51";"0";"391";"1"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Dados Georreferenciados das Bacias Sedimentares Brasileiras";"O GeoANP  é uma ferramenta interativa que reúne informações do segmento de exploração e produção, exibidos num mapa interativo de dados georreferenciados (geoespaciais).  Estão disponíveis informações relacionadas aos dados técnicos e levantamentos das bacias sedimentares brasileiras, como por exemplo poços perfurados, dados sísmicos e blocos licitados nas rodadas. É possível a exportação dessas informações por meio de arquivos shapefile.  O shapefile é um formato aberto de arquivo contendo dados geoespaciais em forma vetorial, representando pontos, linhas e polígonos; usado por Sistemas de Informações Geográficas (SIG).  Alguns dos shapefiles obtidos no GeoANP também são disponibilizados diretamente no site da ANP, para agilizar o acesso pelos entes externos. Esses shapefiles podem ser baixados nos links a seguir.";"Blocos,Blocos Exploratórios Sob Concessão,Blocos da Rodada 17,Campos,Campos de Produção,Concessão,Dados Estratégicos,Geoquímicos,Levantamento,Levantamentos Geoquímicos,Levantamentos Não Sísmicos,Não Sísmicos,Produção,Rodada 17,Shapefile";"12";"0";"264";"1"
