"Organização";"Nome";"Descrição";"Tags";"Quantidade Recursos";"Quantidade Reusos";"Quantidade Downloads";"Quantidade Seguidores"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Dados de Incidentes de Exploração e Produção de Petróleo e Gás Natural";"Nessa seção são divulgados os dados de incidentes ocorridos nas atividades de Exploração e Produção.

De acordo com os procedimentos estabelecidos na Resolução ANP nº 882/2022, a ANP recebe a Comunicação Inicial (CI) relativa aos incidentes por meio do Sistema Integrado de Segurança Operacional, módulo de Incidentes (SISO-Incidentes). As comunicações são realizadas de acordo com o Manual de Comunicação de Incidentes e suas informações integram uma base de dados de incidentes nas atividades de E&P.

Os dados são divulgados nos termos da Lei nº 12.527 de 18 de novembro de 2011 (“Lei de Acesso à Informação – LAI”) e do decreto que a regulamentou (Decreto nº 7.724/2012), garantindo a aplicação do disposto no art. 5º, § 2º e do Art. 55 do Decreto nº 7.724/2012. Ou seja: sua divulgação não configura vantagem competitiva a outros agentes econômicos e não são divulgadas informações pessoais relativas à intimidade, vida privada, honra e imagem.

Dessa forma, são divulgados dados de incidentes sem informações pessoais, ocorridos há 2 (dois) anos da data de publicação, vez que as vantagens competitivas não se configuram quando se trata de dados históricos, e exclui-se também o risco de comprometer o sigilo das atividades de fiscalização, que costumam ser orientadas a partir de dados recentes.";"Dados Estratégicos,Feridos,Incidentes,Segurança,Segurança Operacional,Tipos";"6";"0";"817";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Distribuidores de Combustíveis Líquidos";"Considerando que compete à ANP regular as atividades relativas ao abastecimento nacional de combustíveis, definido na Lei nº 9.847/1999, de 26 de outubro de 1999. A SDL (Superintendência de Distribuição e Logística) disponibiliza os metadados abaixo, a saber: Empresa inutilizadora de botijão de GLP: empresa cadastrada para execução do serviço de inutilização de botijões, nos termos da Norma Técnica NBR 8866, da ABNT; Cessão de Espaço: Contrato homologado entre a cedente (base de combustíveis ou liquefeitos, refinaria, terminal ou produtora de etanol) e cessionária (distribuidor de combustíveis líquidos, aviação, GLP ou TRR), ajustando o uso temporário de espaço de tancagem cedido; Carregamento Rodoviário: Contrato identificando o ponto de entrega direta de combustíveis líquidos automotivos e GLP, em instalações do produtor ou terminal para carregamento em caminhões-tanque de responsabilidade do distribuidor; Distribuidor de Combustíveis Líquidos: Pessoa jurídica autorizada pela ANP ao exercício da atividade de distribuição de combustíveis líquidos. Informações relativas a distribuidores: Distribuidores Autorizados ao Exercício da Atividade, Contratos de cessão de espaço ou carregamento homologados e Agentes Inutilizadores cadastrados";"Contratos,Dados Estratégicos,GLP,P13,agentes econômicos,autorizações,cessão de espaço,distribuidores";"6";"0";"409";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Fase de Desenvolvimento e Produção";"A Fase de Produção é o período contratual em que devem ocorrer o Desenvolvimento e a Produção. A fase de produção de cada área de desenvolvimento terá início na data da apresentação da Declaração de Comercialidade (DC) e duração a depender do regime do contrato.";"Dados Estratégicos,gás natural,petróleo,produçao";"135";"0";"2654";"2"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Fase de Exploração";"Painel Dinâmico da Fase de Exploração
Informações sobre os Blocos sob Contrato; Poços Exploratórios; Planos de Avaliação de Descobertas em Andamento; Planos de Avaliação de Descobertas Concluídos – PADs concluídos, apresentando, dentre outras informações, o ano de término efetivo dos planos;  e Declarações de Comercialidade.

Prorrogação de Prazos da Fase de Exploração
Informações sobre os contratos de exploração e produção de petróleo e gás natural (E&P) na fase de exploração para os quais houve prorrogação mediante as Resoluções abaixo:

Processos Sancionadores
Dados gerais referente à situação dos processos sancionadores de exploração de petróleo e gás natural";"ANP,Blocos,Comercialidade,Concluídos,Contratos,Dados Estratégicos,Declarações,Exploração,Fase,PADs,Painel Dinâmico,Poços Exploratórios,Processos Sancionadores,andamento,resolução";"243";"0";"546";"2"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Fiscalização de Conteúdo Local";"Controle dos processos de fiscalização do cumprimento das obrigações de conteúdo local dos contratos de E&amp";"Dados Estratégicos,conteúdo local,fiscalização";"14";"0";"58";"1"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Gestão de Contratos de Exploração e Produção – Dados de E&P";"Os contratos para exploração e produção, via de regra, são constituídos por duas fases: exploração e produção. A fase de exploração precede a fase de produção e tem por objetivo descobrir e avaliar jazidas de petróleo e/ou gás natural.

O contrato estabelece um prazo, usualmente dividido em períodos exploratórios, durante o qual o concessionário ou contratado deve desenvolver atividades exploratórias de geologia e geofísica, visando ao maior conhecimento das bacias sedimentares brasileiras, em especial do bloco adquirido.

As atividades exploratórias envolvem a aquisição de dados sísmicos, gravimétricos, magnetométricos, geoquímicos, perfuração e avaliação de poços, dentre outras, devendo obrigatoriamente contemplar o cumprimento do Programa Exploratório Mínimo (PEM) acordado com a ANP.

Também é nessa fase que o concessionário ou contratado realiza as avaliações de descobertas e, caso conclua pela viabilidade econômica da descoberta, declara a comercialidade das áreas. Ainda na fase de exploração, caso não haja interesse econômico, o concessionário ou contratado realiza a devolução das áreas para a União.

Nessa seção encontram-se os dados de poços exploratórios em atividade e concluídos, lista de concessões, consulta de área de blocos, poços com indícios de hidrocarbonetos e as declarações de comercialidade.";"Dados Estratégicos,gás natural,petróleo,poços";"16";"0";"165";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Importações e exportações";"As informações disponíveis são importações exportações de petróleo; importações de gás natural; importações e exportações de derivados petróleo; e importações e exportações de etanol. Os dados são atualizados mensalmente até o último dia do mês subsequente ao mês de referência.";"Dados Estratégicos,derivados de petróleo,etanol,etanol anidro,etanol hidratado,exportação de petróleo,gás natural,importação,importação de petróleo,importações,petróleo";"8";"0";"1116";"4"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Movimentação de derivados de petróleo e biocombustíveis";"Asfaltos - Divulga a movimentação de asfaltos pelos agentes regulados, conforme Resolução ANP nº 729/2018, com a garantia da proteção das informações declaradas pelos agentes, conforme previsto no art. 3º da referida Resolução.

Combustíveis de aviação - Divulga a movimentação de combustíveis de aviação (Gasolina e querosene de aviação) pelos agentes regulados, conforme Resolução ANP nº 729/2018, com a garantia da proteção das informações declaradas pelos agentes, conforme previsto no art. 3º da referida Resolução.

Combustíveis líquidos - Divulga a movimentação de combustíveis líquidos (exceto combustíveis de aviação) pelos agentes regulados, conforme Resolução ANP nº 729/2018, com a garantia da proteção das informações declaradas pelos agentes, conforme previsto no art. 3º da referida Resolução.

GLP (Gás Liquefeito de Petróleo) - Divulga a movimentação de gás liquefeito de petróleo (GLP) pelos agentes regulados, conforme Resolução ANP nº 729/2018, com a garantia da proteção das informações declaradas pelos agentes, conforme previsto no art. 3º da referida Resolução.

Lubrificantes - Divulga a movimentação de lubrificantes pelos agentes regulados, conforme Resolução ANP nº 729/2018, com a garantia da proteção das informações declaradas pelos agentes, conforme previsto no art. 3º da referida Resolução.

Solventes - Divulga a movimentação de solventes pelos agentes regulados, conforme Resolução ANP nº 729/2018, com a garantia da proteção das informações declaradas pelos agentes, conforme previsto no art. 3º da referida Resolução.

Transportador Revendedor Retalhista (TRR) - Divulga a movimentação de derivados pelos transportadores revendedores retalhistas (TRR), conforme Resolução ANP nº 729/2018, com a garantia da proteção das informações declaradas pelos agentes, conforme previsto no art. 3º da referida Resolução.


";"Agente Regulado,Dados Estratégicos,GLP,Lubrificantes,Produto,Região Destinatário,Solventes,TRR,asfalto,atual,aviação,combustivel de aviação,combustivel liquido,formecedor,historico,vendas";"20";"0";"909";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Movimentação dos Terminais Aquaviários";"A Resolução ANP nº 881/2022 estabelece critérios para o uso dos terminais aquaviários existentes, ou a serem construídos, para movimentação de petróleo, de derivados de petróleo, de derivados de gás natural e de biocombustíveis. Dentre as obrigações do operador de terminal aquaviário está a publicação mensal, em seu site, de dados sobre a movimentação de produtos regulados pela ANP em sua instalação, conforme modelo definido pela ANP. 

A ANP compila mensalmente esses dados e os publica no formato de dados abertos e no Painel Dinâmico de Aplicação da Resolução ANP nº 881/2022. O painel disponibiliza diversos dados públicos sobre os terminais aquaviários autorizados a operar pela ANP. 

A série histórica inicia em 2022-09, primeiro de referência com obrigação de publicidade no formato padronizado pela ANP, a partir da entrada em vigor da Resolução ANP nº 881/2022.";"Aquaviários,Dados Estratégicos,Movimentações,Terminais,Terminais Aquaviário";"2";"0";"107";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Multas aplicadas - vencimento a partir de 2016";"A ANP disponibiliza abaixo a relação de multas aplicadas com vencimento a partir de 2016.
Cabe ressaltar que a ANP apenas aplica as multas e que toda a receita delas decorrente é recolhida diretamente ao Tesouro Nacional. O agente econômico autuado pela ANP tem assegurado o direito à ampla defesa e ao contraditório em todo trâmite processual.";"Dados Estratégicos,autuações,multas";"7";"0";"163";"1"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"PMQC - Programa de Monitoramento da Qualidade dos Combustíveis";"Levantamento dos indicadores gerais da qualidade dos combustíveis comercializados no País e a identificação de focos de não conformidade, visando à simetria de informações e a orientar e aperfeiçoar a atuação da área de fiscalização.

";"Dados Estratégicos,biocombustíveis,controle de qualidade,diesel,etanol,gasolina";"200";"0";"629";"1"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Painel Dinâmico de Processamento de petróleo e produção de derivados";"A ANP propicia uma nova forma interativa de visualização dos dados de produção de combustíveis e derivados de petróleo oriundos das declarações dos agentes via Sistema de Informações de Movimentação de Produtos (Simp).
Informações temporais relativas ao processamento de petróleo e fator de utilização efetiva, participação das refinarias no processamento de petróleo, produção e operações de derivados nas refinarias, bem como produção de combustíveis em centrais petroquímicas e formuladores podem ser obtidas a partir do uso dessa ferramenta.";"CPQ,Combustível,Dados Estratégicos,Derivado,Formuladores,Petroquímica,Petróleo,Processamento,Produção,Refinarias,Refino,Tancagem,Tanques de Petróleo";"10";"0";"304";"1"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Painel de Produtores de Derivados: Vendas de derivados de petróleo e biocombustíveis";"São apresentados os dados referentes à quantidade de biodiesel vendido entre a UF de origem e a UF de destino informados pelos produtores de
biodiesel cadastrados na Agência Nacional do Petróleo, Gás Natural e Biocombustíveis/ANP.";"Combustíveis,Movimentação,Vendas,biocombustíveis,biodiesel";"2";"0";"308";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Painéis de Produção de Etanol e de Biodiesel";"A ANP propicia uma nova forma interativa de visualização dos dados de produção de etanol e biodiesel oriundos das declarações dos agentes via Sistema de Informações de Movimentação de Produtos (Simp).

Informações temporais relativas à produção regional, matéria-prima e tancagem de etanol e biodiesel podem ser obtidas a partir dos dados disponibilizados nesta página ou nos painéis dinâmicos do site da ANP.";"Biocombustíveis,Biodiesel,Capacidade,Combustíveis,Dados Estratégicos,Etanol,Matéria-Prima,Processamento,Produção,Tancagem,Tanque de Biodiesel,Tanque de Etanol";"16";"0";"922";"1"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Participações Governamentais";"Dados consolidados pela Agência Nacional do Petróleo, Gás Natural e Biocombustíveis/ANP sobre as unidades de pesquisa credenciadas para a execução de projetos com recursos provenientes da cláusula de PD&";"Dados Estratégicos,Gás Natural,Participação Especial,Petróleo,Preço de Referencia do Petróleo,Royalties";"84";"0";"505";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Pesquisa e Desenvolvimento e Inovação (PD&I)";"A Lei nº 9.478, de 06/08/1997, estabeleceu para a Agência Nacional do Petróleo, Gás Natural e Biocombustíveis (ANP), dentre outras, a atribuição de estimular a pesquisa e a adoção de novas tecnologias para o setor. Diante disso, os contratos celebrados entre a Agência e as Empresas Petrolíferas para exploração, desenvolvimento e produção de petróleo e gás natural dispõem, desde a Rodada Zero, de cláusulas de Pesquisa, Desenvolvimento e Inovação (Cláusula de PD&amp;I) que estabelecem a obrigação de realização de despesas qualificadas como PD&amp;I pelas Empresas Petrolíferas.
A cláusula de PD&amp;I estabelece a aplicação de percentual da receita bruta da produção, segundo condições específicas de cada modalidade de contrato. A ANP é responsável pela análise, aprovação, acompanhamento e fiscalização da aplicação dos recursos oriundos da cláusula de PD&amp;I.";"Dados Estratégicos,Desenvolvimento,Desenvolvimento e Inovação,Inovação,Investimento em Pesquisa,Investimentos,PDI,Pesquisa Credenciadas,Pesquisa e Desenvolvimento,Pesquisa e Desenvolvimento e Inovação,Programa de Recursos Humanos,Projetos de Pesquisa,Unidade de Pesquisa,empresas petrolíferas";"10";"0";"467";"3"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Pontos de Abastecimento Autorizados";"Considerando que compete à ANP regular as atividades relativas ao abastecimento nacional de combustíveis, definido na Lei nº 9.847/1999, de 26 de outubro de 1999. A SDL (Superintendência de Distribuição e Logística) disponibiliza os metadados referentes aos Pontos de Abastecimento que estão em operação, conforme Resolução ANP nº 12/2007.";"Abastecimento Autorizados,Autorizados,Dados Estratégicos,Pontos,Pontos de Abastecimento";"2";"0";"292";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Prestadores de serviços de apoio administrativo";"Prestadores de serviços de apoio administrativo da ANP:  Os dados disponibilizados trata-se da relação de prestadores de serviços terceirizados ocupantes dos postos de serviços objeto dos contratos de prestação de serviços de apoio administrativo no Escritório Central do Rio de Janeiro/RJ e do Escritório Sede em Brasília/DF.";"Dados Estratégicos,Prestadores de serviços,apoio administrativo";"2";"0";"32";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Previsão de Investimentos Exploratórios";"Os contratos para exploração e produção, via de regra, são constituídos por duas fases: exploração e produção. A fase de exploração precede a fase de produção e tem por objetivo descobrir e avaliar jazidas de petróleo e/ou gás natural.

O contrato estabelece um prazo durante o qual o concessionário ou contratado deve desenvolver atividades exploratórias de geologia e geofísica, visando ao maior conhecimento das bacias sedimentares brasileiras, em especial do bloco adquirido.

As atividades exploratórias envolvem a aquisição de dados sísmicos, gravimétricos, magnetométricos, geoquímicos, perfuração e avaliação de poços, dentre outras, devendo obrigatoriamente contemplar o cumprimento do Programa Exploratório Mínimo (PEM) acordado com a ANP.

Nessa consulta encontram-se os dados de quantidade de atividade e investimentos previstos na fase de exploração para o ano corrente relacionados as atividades de poço exploratório, sísmica 2D e sísmica 3D. As quantidades são indicadas junto a unidade da atividade, o investimento é indicado em valor de moeda Real. A consulta permite a visualização total ou classificada por ambiente: terra ou mar.";"Dados Estratégicos,Exploração,exploratório,investimento,petróleo,poços,sísmica,óleo e gás";"2";"0";"78";"1"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Processamento de petróleo e produção de derivados";"As informações disponíveis são processamento de petróleo; produção de derivados por refinaria; produção de gás combustível por refinaria; produção de derivados por central petroquímica; produção de derivados de xisto; e produção de derivados por outros produtores. Os dados são atualizados mensalmente até o último dia do mês subsequente ao mês de referência.";"Dados Estratégicos,Processamento de petróleo,Produção de derivados de xisto,Produção de derivados por central petroquímica,Produção de derivados por outros produtores,Produção de derivados por refinaria,Produção de gás combustível por refinaria,derivados de petróleo,produção";"12";"0";"693";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Produção de Biocombustíveis";"As informações disponíveis no sítio da Agência Nacional do Petróleo, Gás Natural e Biocombustíveis são produção de biodiesel; e produção de etanol. Os dados são atualizados mensalmente até o último dia do mês subsequente ao mês de referência.";"Dados Estratégicos,biocombustíveis,etanol,produção";"5";"0";"622";"2"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Produção de Petróleo e Gás Natural por Poço";"Os dados da produção mensal de petróleo e gás natural por poço têm sido publicados no site da ANP desde 2010, quando os primeiros dados foram divulgados junto com o histórico do quinquênio anterior (2005-2009).Além dos volumes de produção de petróleo (em bbl/dia) e gás natural (em Mm³/dia) em cada poço, também constam informações sobre localização (campo, bacia, estado), titularidade (operador, nº contrato), período de referência (mês e ano), grau API, fração de destilados, percentuais de hidrocarbonetos, dentre outras. Mensalmente são publicados três arquivos, com as listagens dos poços conforme a localização: terra, mar, pré-sal (neste último caso se trata dum subconjunto dos dados de produção em mar, contendo apenas os poços no polígono do pré-sal).Os dados não são divulgados no mês imediatamente posterior ao da produção mas no mês subsequente ao posterior. Ou seja, há um lapso de dois meses. Eis os passos para a liberação dos dados:Na primeira quinzena do mês posterior ao da produção, as operadoras enviam à ANP os BMPs (Boletins Mensais de Produção) de seus poços. Na segunda quinzena do mesmo mês, os dados dos BMPs recebidos são conferidos e validados pela ANP.
Finalmente, no mês subsequente os dados de produção são publicados. Exemplo: os dados da produção por poço no mês de janeiro só são divulgados em março, após serem recebidos, conferidos e validados pela ANP em fevereiro.";"Dados Estratégicos,Gás Natural,Mar,Petróleo,Polígono do Pré - Sal,Poço,Produção,Pré- Sal,Terra";"52";"0";"2134";"3"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Produção de petróleo e gás natural por estado e localização";"As informações disponíveis são produção de petróleo; produção de LGN; produção de gás natural; reinjeção de gás natural; queima e perdas de gás natural; consumo próprio de gás natural; e gás natural disponível. Os dados são atualizados mensalmente até o último dia do mês subsequente ao mês de referência.";"Dados Estratégicos,LGN,gás natural,petróleo,produção";"14";"0";"1958";"4"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Relação de Concessionários";"Relação de Concessionários - A relação dos concessionários consolida informações dos contratos ativos na ANP. Estes contratos estão organizados por rodada de licitação. É possível visualizar a fase em que se encontra cada contrato, as empresas signatárias e suas respectivas participações.
Relação de Concessionários - país de origem - Fazendo parte do conjunto, a relação dos concessionários consolida informações dos contratos ativos na ANP. Estes contratos estão organizados por rodada de licitação. É possível visualizar também os países de origem dos concessionários.";"Dados Estratégicos,concessionários,rodadas de licitações";"4";"0";"89";"1"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Resultado de poço";"O resultado de poço é o conjunto de atributos a partir dos quais podem simplificadamente se inferir conclusões gerais sobre as condições geológicas do prospecto perfurado por aquele poço, conforme Resolução ANP n° 699/2017.";"Dados Estratégicos,Poço,Resultado,Resultado de Poço";"2";"0";"172";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Rodadas de Licitações de Petróleo e Gás Natural";"As Rodadas de Licitações são leilões por meio dos quais a União concede o direito de explorar e produzir petróleo e gás natural no Brasil. Mais informações sobre as rodadas podem ser obtidas no site das Rodadas da ANP.
Apresentamos a lista de blocos ofertados e de ofertas vencedoras na 9ª a 15ª Rodada de Licitações de Blocos sob o regime de concessão, bem como o histórico de processos de Cessão de Contratos, de 2001 a 2017.";"Dados Estratégicos,bid,gás natural,leilão,licitação,petróleo";"6";"0";"65";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Série Histórica de Preços de Combustíveis e de GLP";"Em cumprimento às determinações da Lei do Petróleo (Lei nº 9478/1997, artigo 8º), a ANP acompanha os preços praticados por revendedores de combustíveis automotivos e de gás liquefeito de petróleo envasilhado em botijões de 13 quilos (GLP P13), por meio de uma pesquisa semanal de preços realizada por empresa contratada. 

Veja abaixo os resultados das pesquisas que compõem a Série Histórica de Preços de Combustíveis (arquivos em formato .csv).";"Causas ganhas,Dados Estratégicos,biocombustíveis,comercialização,preços";"205";"0";"61673";"80"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Tancagem do Abastecimento Nacional de Combustíveis";"A ANP propicia uma nova forma interativa de visualização de informações (a partir da ferramenta Power BI) no Painel Dinâmico sobre capacidade de tancagem (armazenamento) dos agentes regulados. São dados concretos, seguros e atualizados; capazes de subsidiar os tomadores de decisão em suas deliberações.";"Dados Estratégicos,GLP,Instalação,Tancagem,Tanque,armazenamento,combustíveis,derivados de petróleo,grupo de produtos,instalação,localização,petróleo,segmento,tancagem,tanque";"28";"0";"297";"1"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Vendas de derivados de petróleo e biocombustíveis";"As informações disponíveis são vendas de derivados de petróleo e etanol; vendas de combustíveis por segmento; vendas de combustíveis por tipo; vendas anuais de etanol hidratado e derivados de petróleo por município; e vendas anuais de etanol hidratado e derivados de petróleo por estado. Os dados são atualizados mensalmente até o último dia do mês subsequente ao mês de referência.";"Dados Estratégicos,GLP,asfalto,derivados de petróleo,etanol,etanol hidratado,gasolina c,gasolina de aviação,municipios,oleo combustivel,oleo diesel,querosene de aviação,querosene iluminante,vendas";"44";"0";"4158";"5"
